,Net1_M1,Net2_M1,Net3_M1,Net4_M1,Net5_M1
108,-604.05145,260.31415,250.6264,-29.760569,40.746838
109,-638.57794,228.44423,196.30075,-35.486702,46.265755
110,-662.0556,193.16568,165.70978,-17.066917,47.73385
111,-669.56506,192.14786,173.2992,4.823718,42.0602
112,-674.5737,189.71149,174.95291,9.083362,16.978678
113,-663.44653,139.183,146.74084,-4.3828144,-4.6429863
114,-666.2955,92.223625,131.31363,-12.608332,8.909895
115,-680.72,83.34073,146.81525,1.9948606,28.037872
116,-656.3838,61.861378,132.6069,6.3106604,14.816322
117,-632.0001,23.404415,93.11236,-8.159235,3.167037
118,-644.5209,10.277108,96.12921,4.28564,13.658079
119,-650.9514,-7.547908,112.63812,26.925041,21.570492
120,-649.5688,-57.53118,104.01711,23.45388,27.840508
121,-674.239,-94.963104,115.6719,21.348457,31.526707
122,-694.2428,-113.49675,130.45657,37.4748,19.85749
123,-699.49713,-131.2645,109.09988,42.95365,4.284424
124,-717.944,-149.91383,103.00537,26.820187,0.17363453
125,-733.5326,-164.33524,129.44325,19.803394,1.9569111
126,-738.50903,-176.45482,152.29639,36.45277,-15.366492
127,-762.0303,-196.18938,157.28473,41.518963,-51.04498
128,-782.3391,-211.12761,143.87192,28.597832,-51.00674
129,-744.86896,-236.50641,117.73404,15.013795,-16.201944
130,-696.66156,-276.8062,86.33751,3.4048948,-15.436176
131,-697.4193,-297.19913,76.89759,14.441718,-23.27827
132,-694.1363,-318.7763,98.537735,40.765587,3.0646877
133,-657.2439,-367.00757,100.84529,42.706867,13.332012
134,-650.1966,-394.14844,73.312294,38.989166,17.02032
135,-684.47076,-373.89792,70.8766,41.101074,33.648117
136,-694.3363,-359.28366,68.38159,21.808056,31.569633
137,-672.35187,-368.25858,40.990723,0.6496916,13.217075
138,-662.6075,-342.19217,43.735737,1.3085928,5.2496033
139,-630.803,-286.3719,29.872673,-7.254698,0.6371269
140,-544.4507,-238.65408,-27.982979,-24.321997,-17.40419
141,-451.64697,-214.24355,-39.773994,-17.793346,-20.455248
142,-375.80377,-246.13596,-24.305977,-4.7359705,8.731892
143,-315.5371,-262.5678,-32.71422,-9.259763,27.985523
144,-264.0197,-194.80484,-32.006447,-9.38082,36.023037
145,-185.90515,-147.42871,4.100212,7.5505857,50.070805
146,-96.93005,-180.31921,62.889652,12.5344305,34.165173
147,-69.754486,-219.96777,96.69979,-13.217364,0.4099884
148,-88.46033,-263.10333,99.490814,-29.23388,-15.774782
149,-122.74158,-322.09937,104.23216,-22.568493,-42.446808
150,-207.68033,-336.26578,113.044464,-22.694038,-66.23784
151,-351.17822,-293.91544,132.91466,-14.892476,-60.97592
152,-505.31085,-240.35185,170.57852,16.616882,-64.059586
153,-641.7857,-205.70993,180.12155,39.209255,-72.92157
154,-732.9555,-190.72838,151.71881,45.568386,-72.71755
155,-753.4393,-196.9711,128.51073,49.71681,-89.06142
156,-733.17413,-210.462,119.08953,51.94006,-117.551254
157,-689.6843,-214.11687,108.229324,63.47011,-106.73212
158,-606.60345,-218.9517,95.90829,92.07666,-54.896244
159,-529.42175,-216.40865,85.229385,113.32626,-22.594866
160,-478.36,-200.02666,89.1362,100.91742,-24.220245
161,-408.92554,-212.5353,67.287125,81.4069,-16.869658
162,-343.56305,-240.50041,10.503273,78.12026,-14.010032
163,-286.39478,-239.699,-27.904655,79.204285,-18.547844
164,-194.3747,-238.27676,-52.496925,73.64172,20.109783
