,coords,areas,subjs,regions
309,[-47748.49236246  27077.16471941  -8020.27774078],['IFG' 'IFG'],BJH069,VLPFC
310,[ 26.73600613 -25.68371939  55.02797771],['preCG' 'preCG'],SLCH020,M1
311,[ 29.05944159 -25.7809309   58.42158258],['preCG' 'preCG'],SLCH020,M1
312,[ 30.89475156 -25.84274442  61.86787444],['preCG' 'preCG'],SLCH020,M1
313,[ 32.73106203 -25.45414844  65.06565428],['preCG' 'preCG'],SLCH020,M1
314,[ 40.96997616 -19.27110797  50.00033204],['preCG' 'preCG'],SLCH020,M1
315,[ 44.08769765 -17.88487249  50.61659443],['preCG' 'preCG'],SLCH020,M1
316,[ 46.71629314 -16.91364851  51.53405584],['preCG' 'preCG'],SLCH020,M1
317,[  9.81087188 -19.35991236  26.41685405],['PCC' 'PCC'],SLCH020,PCC
318,[ 42.92458078 -12.84570151  36.34492223],['preCG' 'preCG'],SLCH020,M1
319,[ 46.04030127 -12.36028502  37.45820866],['preCG' 'preCG'],SLCH020,M1
320,[ 49.15602176 -11.87486853  38.57149508],['preCG' 'preCG'],SLCH020,M1
321,[ 52.27274275 -10.93904255  39.43626949],['preCG' 'preCG'],SLCH020,M1
322,[ 55.87758924 -10.03861457  40.2483569 ],['preCG' 'preCG'],SLCH020,M1
323,[ 34.16482943 -16.85831885  20.82091459],['INS' 'INS'],SLCH020,INS
324,[ 37.70735342 -16.19049236  21.15653254],['INS' 'INS'],SLCH020,INS
325,[ 41.18755492 -15.75526737  21.01568101],['INS' 'INS'],SLCH020,INS
326,[ 44.66775642 -15.32004237  20.87482949],['postCG' 'postCG'],SLCH020,S1
327,[ 48.21028042 -14.65221588  21.21044743],['postCG' 'postCG'],SLCH020,S1
328,[ 51.20235642 -14.18159289  21.1222829 ],['postCG' 'postCG'],SLCH020,S1
329,[ 54.68255792 -13.74636789  20.98143138],['postCG' 'postCG'],SLCH020,S1
330,[ 58.22508191 -13.0785414   21.31704932],['postCG' 'postCG'],SLCH020,S1
331,[ 61.76760591 -12.41071491  21.65266726],['postCG' 'postCG'],SLCH020,S1
332,[ 21.30624768 -44.04484652  51.22105488],['SPL' 'SPL'],SLCH020,parietal
333,[ 21.67618065 -44.45087554  55.07391975],['SPL' 'SPL'],SLCH020,parietal
334,[ 22.04711411 -44.40649506  58.6782726 ],['SPL' 'SPL'],SLCH020,parietal
335,[ 22.41804758 -44.36211458  62.28262545],['SPL' 'SPL'],SLCH020,parietal
336,[ 22.78798055 -44.76814359  66.13549032],['SPL' 'SPL'],SLCH020,parietal
337,[ 28.31106576 -45.38298644  42.94139977],['postCG' 'postCG'],SLCH020,S1
338,[ 31.00298424 -43.72875148  44.08681863],['postCG' 'postCG'],SLCH020,S1
339,[ 34.18402873 -41.65950502  44.93103848],['postCG' 'postCG'],SLCH020,S1
340,[ 36.87694772 -39.55486056  45.82794532],['postCG' 'postCG'],SLCH020,S1
341,[ 39.6311887  -37.6680241   47.44983365],['postCG' 'postCG'],SLCH020,S1
342,[ 42.38542969 -35.78118764  49.07172197],['postCG' 'postCG'],SLCH020,S1
343,[ 45.07734817 -34.12695268  50.21714083],['postCG' 'postCG'],SLCH020,S1
344,[ 47.76926666 -32.47271771  51.36255969],['postCG' 'postCG'],SLCH020,S1
345,[ 50.46218565 -30.36807326  52.25946653],['postCG' 'postCG'],SLCH020,S1
346,[ 31.05940534 -40.53242747  33.1067224 ],['AMY' 'AMY'],SLCH020,AMY
347,[ 34.17812733 -38.69578251  33.47447278],['AMY' 'AMY'],SLCH020,AMY
348,[ 51.8518858  -27.83771821  35.30987958],['ITS' 'ITS'],SLCH020,VS
349,[ 54.9706078  -26.00107324  35.67762995],['ITS' 'ITS'],SLCH020,VS
350,[ 58.08932979 -24.16442827  36.04538033],['ITS' 'ITS'],SLCH020,VS
351,[ 61.20805178 -22.32778331  36.41313071],['MTG' 'MTG'],SLCH020,MTG
352,[ 41.67562397 -35.20938798  17.55000771],['STG' 'STG'],SLCH020,STG
353,[ 44.73202347 -33.6053445   17.44128862],['STG' 'STG'],SLCH020,STG
354,[ 47.78842297 -32.00130103  17.33256953],['STG' 'STG'],SLCH020,STG
355,[ 50.78249997 -30.62985905  16.74738098],['STG' 'STG'],SLCH020,STG
356,[ 53.77657698 -29.25841707  16.16219242],['STG' 'STG'],SLCH020,STG
357,[ 56.83297648 -27.6543736   16.05347333],['STG' 'STG'],SLCH020,STG
358,[ 59.88937597 -26.05033012  15.94475424],['STG' 'STG'],SLCH020,STG
359,[ 62.94577547 -24.44628665  15.83603515],['STG' 'STG'],SLCH020,STG
360,[ 66.00317547 -22.39183368  15.47880405],['STG' 'STG'],SLCH020,STG
361,[12.3067732  -8.70462417 44.73009673],['SMA' 'SMA'],SLCH020,premotor
362,[17.26425612 -8.18644923 54.14816581],['SFG' 'SFG'],SLCH020,premotor
363,[19.09956609 -8.24826274 57.59445767],['SFG' 'SFG'],SLCH020,premotor
364,[20.93587656 -7.85966677 60.79223752],['SFG' 'SFG'],SLCH020,premotor
365,[23.26031253 -7.50646879 63.93733037],['SFG' 'SFG'],SLCH020,premotor
366,[13.34405481 18.69955889 29.46548984],['ACC' 'ACC'],SLCH020,ACC
367,[29.77026126 18.78900438 34.96765709],['MFG' 'MFG'],SLCH020,DLPFC
368,[32.88598175 19.27442087 36.08094351],['MFG' 'MFG'],SLCH020,DLPFC
369,[36.00070174 19.30942786 37.44274195],['MFG' 'MFG'],SLCH020,DLPFC
370,[39.60354722 19.30903686 38.75185339],['MFG' 'MFG'],SLCH020,DLPFC
371,[43.20639271 19.30864586 40.06096483],['MFG' 'MFG'],SLCH020,DLPFC
372,[46.2587902  19.11105136 40.9462938 ],['MFG' 'MFG'],SLCH020,DLPFC
373,[32.778334   -6.70508649 11.12968993],['INS' 'INS'],SLCH020,INS
374,[35.89505499 -5.76926051 11.99446434],['INS' 'INS'],SLCH020,INS
375,[39.01177599 -4.83343453 12.85923875],['INS' 'INS'],SLCH020,INS
376,[42.18981897 -4.11541655 14.44899464],['FOP' 'FOP'],SLCH020,VLPFC
377,[45.30553946 -3.63000006 15.56228106],['FOP' 'FOP'],SLCH020,VLPFC
378,[48.42125995 -3.14458358 16.67556748],['FOP' 'FOP'],SLCH020,VLPFC
379,[51.59930293 -2.4265656  18.26532337],['FOP' 'FOP'],SLCH020,VLPFC
380,[54.77834642 -1.25813812 19.60656725],['FOP' 'FOP'],SLCH020,VLPFC
381,[57.9573899  -0.08971065 20.94781113],['FOP' 'FOP'],SLCH020,VLPFC
382,[34.56638545 19.1753635  13.78481841],['IFG' 'IFG'],SLCH020,VLPFC
383,[37.92194196 19.14538551 12.69102795],['IFG' 'IFG'],SLCH020,VLPFC
384,[41.27649797 18.66499803 11.8457495 ],['IFG' 'IFG'],SLCH020,VLPFC
385,[44.20525097 18.45261004 11.52962752],['IFG' 'IFG'],SLCH020,VLPFC
386,[47.55980698 17.97222255 10.68434907],['IFG' 'IFG'],SLCH020,VLPFC
387,[50.91536349 17.94224456  9.59055861],['IFG' 'IFG'],SLCH020,VLPFC
388,[54.33324249 18.14486807  8.97323762],['IFG' 'IFG'],SLCH020,VLPFC
389,[58.175924   17.62908259  8.07527218],['IFG' 'IFG'],SLCH020,VLPFC
390,[ 41.75969784 -55.81885918  35.04150213],['IP' 'IP'],SLCH020,parietal
391,[ 43.89416482 -57.51469416  37.50272262],['IP' 'IP'],SLCH020,parietal
392,[ 46.57907979 -59.01332565  40.38772558],['IP' 'IP'],SLCH020,parietal
393,[ 49.26499527 -60.06154764  43.02421653],['IP' 'IP'],SLCH020,parietal
394,[ 51.40046275 -61.30697312  45.236925  ],['IP' 'IP'],SLCH020,parietal
395,[ 53.33907279 -17.3967931  -19.1694203 ],['ITS' 'ITS'],SLCH020,VS
396,[ 56.81827379 -17.41197759 -19.06175981],['ITS' 'ITS'],SLCH020,VS
397,[ 59.87167178 -17.1591626  -18.42494286],['ITS' 'ITS'],SLCH020,VS
398,[ 63.41219477 -17.39215509 -17.59230089],['MTG' 'MTG'],SLCH020,MTG
399,[ 66.95271776 -17.62514759 -16.75965892],['MTG' 'MTG'],SLCH020,MTG
400,[ 23.82826583  -4.49267234 -24.37539074],['AMY' 'AMY'],SLCH020,AMY
401,[ 27.67094734  -5.00845783 -25.27335619],['AMY' 'AMY'],SLCH020,AMY
402,[ 47.13164385  -7.55779824 -27.3602815 ],['ITS' 'ITS'],SLCH020,VS
403,[ 51.03664786  -7.84098223 -27.78177747],['ITS' 'ITS'],SLCH020,VS
404,[ 54.45252586  -8.53917771 -27.90207444],['ITS' 'ITS'],SLCH020,VS
405,[ 57.86840386  -9.2373732  -28.0223714 ],['MTG' 'MTG'],SLCH020,MTG
406,[ 61.22295987  -9.71776068 -28.86764985],['MTG' 'MTG'],SLCH020,MTG
407,[ 64.57751587 -10.19814816 -29.71292829],['MTG' 'MTG'],SLCH020,MTG
408,[-22528.439215   -5288.0976185 -31312.36778  ],['EC' 'EC'],SLCH006,EC
409,[-25678.589605   -5781.2335505 -28646.9518   ],['AMY' 'AMY'],SLCH006,AMY
410,[-28862.113495  -6406.549967 -26532.64232 ],['AMY' 'AMY'],SLCH006,AMY
411,[-32053.23339  -6528.03394 -24526.20131],['AMY' 'AMY'],SLCH006,AMY
412,[-35210.97978   -6517.337428 -21968.6538  ],['AMY' 'AMY'],SLCH006,AMY
413,[-38368.72617   -6506.640916 -19411.106285],['AMY' 'AMY'],SLCH006,AMY
414,[-41559.846065  -6628.124889 -17404.665275],['STG' 'STG'],SLCH006,STG
415,[-44784.339455  -6881.789347 -15949.33077 ],['STG' 'STG'],SLCH006,STG
416,[-47975.459345  -7003.27332  -13942.88976 ],['STG' 'STG'],SLCH006,STG
417,[-51133.205735  -6992.576808 -11385.34225 ],['STG' 'STG'],SLCH006,STG
418,[-54316.72963   -7617.893225  -9271.032771],['STG' 'STG'],SLCH006,STG
419,[-57507.84952    -7739.377198   -7264.5917615],['STG' 'STG'],SLCH006,STG
420,[-60706.56541    -7357.028727   -5366.0192235],['STG' 'STG'],SLCH006,STG
421,[-39244.820395 -30720.218715 -16463.963165],['FUG' 'FUG'],SLCH006,VS
422,[-42610.40379 -30998.77267 -17320.92314],['FUG' 'FUG'],SLCH006,VS
423,[-46009.36069  -31409.507105 -18728.98962 ],['FUG' 'FUG'],SLCH006,VS
424,[-49932.34615  -31186.59411  -19652.942565],['FUG' 'FUG'],SLCH006,VS
425,[-54371.76417 -30833.86613 -19984.9135 ],['ITG' 'ITG'],SLCH006,VS
426,[-57703.974065 -30980.2396   -20290.766975],['ITG' 'ITG'],SLCH006,VS
427,[-61069.557465 -31258.793555 -21147.726955],['ITG' 'ITG'],SLCH006,VS
428,[-21581.045335 -39977.86776  -16932.559855],['PHG' 'PHG'],SLCH006,PHC
429,[-24879.881725 -39992.06074  -16687.306825],['FUG' 'FUG'],SLCH006,VS
430,[-28695.150685 -39876.438735 -15850.071785],['FUG' 'FUG'],SLCH006,VS
431,[-32510.419645 -39760.816735 -15012.836745],['FUG' 'FUG'],SLCH006,VS
432,[-36392.435605 -39909.555705 -15277.814715],['FUG' 'FUG'],SLCH006,VS
433,[-51746.03594  -40347.441585 -13474.32561 ],['FUG' 'FUG'],SLCH006,VS
434,[-55635.6479  -39992.34811 -13847.17205],['MTG' 'MTG'],SLCH006,MTG
435,[-59510.06786 -40644.91952 -14004.28155],['MTG' 'MTG'],SLCH006,MTG
436,[-63908.51638  -40663.843495 -13677.27751 ],['MTG' 'MTG'],SLCH006,MTG
437,[-23731.459645 -52608.03034  -16384.640545],['FUG' 'FUG'],SLCH006,VS
438,[-50270.836795 -52242.631265 -16842.779275],['ITG' 'ITG'],SLCH006,VS
439,[-54152.852755 -52391.370235 -17107.757245],['ITG' 'ITG'],SLCH006,VS
440,[-58584.67478  -52542.474695 -17331.85971 ],['ITG' 'ITG'],SLCH006,VS
441,[-61883.51117  -52556.667675 -17086.60668 ],['ITG' 'ITG'],SLCH006,VS
442,[-13622.26252  -66672.759815 -14100.082455],['LG' 'LG'],SLCH006,VS
443,[-16954.472415 -66819.133285 -14405.93593 ],['LG' 'LG'],SLCH006,VS
444,[-20844.08437  -66464.039805 -14778.78237 ],['LG' 'LG'],SLCH006,VS
445,[-24733.69633 -66108.94633 -15151.62881],['LG' 'LG'],SLCH006,VS
446,[-28615.71229 -66257.6853  -15416.60678],['FUG' 'FUG'],SLCH006,VS
447,[-32471.950745 -65770.411335 -15238.346715],['FUG' 'FUG'],SLCH006,VS
448,[-36320.593205 -65786.969815 -14952.21818 ],['FUG' 'FUG'],SLCH006,VS
449,[-17998.1675  -56457.96494 -13067.04684],['FUG' 'FUG'],SLCH006,VS
450,[-21248.4384   -57347.642325 -12054.950365],['FUG' 'FUG'],SLCH006,VS
451,[-25048.51536 -58239.68521 -11001.97839],['FUG' 'FUG'],SLCH006,VS
452,[-28848.59232  -59131.728095  -9949.006414],['FUG' 'FUG'],SLCH006,VS
453,[-32091.26722  -60525.237925  -8829.041469],['FUG' 'FUG'],SLCH006,VS
454,[-35850.37468  -61788.932765  -7117.094517],['FUG' 'FUG'],SLCH006,VS
455,[-39650.45164  -62680.97565   -6064.122539],['FUG' 'FUG'],SLCH006,VS
456,[ -1781.070149 -82578.554095 -19694.517425],['LG' 'LG'],SLCH006,VS
457,[ -5143.664036 -80709.59779  -20431.84478 ],['LG' 'LG'],SLCH006,VS
458,[ -9040.87199 -79850.67187 -20912.55969],['FUG' 'FUG'],SLCH006,VS
459,[-12889.51445  -79867.23035  -20626.431155],['FUG' 'FUG'],SLCH006,VS
460,[-16745.75291  -79379.956385 -20448.171095],['FUG' 'FUG'],SLCH006,VS
461,[-27716.096715 -78791.253405 -19187.422965],['FUG' 'FUG'],SLCH006,VS
462,[-32047.79824  -78545.816415 -17758.20592 ],['IOG' 'IOG'],SLCH006,N
463,[-35272.29163  -78799.48087  -16302.871415],['IOG' 'IOG'],SLCH006,N
464,[-38530.158525 -79185.32581  -15398.64341 ],['IOG' 'IOG'],SLCH006,N
465,[-30199.85132  -38815.992845 -22369.834665],['FUG' 'FUG'],SLCH006,VS
466,[-32910.90166  -41346.98255  -21626.114785],['FUG' 'FUG'],SLCH006,VS
467,[-35621.951995 -43877.97226  -20882.39491 ],['FUG' 'FUG'],SLCH006,VS
468,[-38325.406335 -46912.79441  -20030.80656 ],['FUG' 'FUG'],SLCH006,VS
469,[-41036.456675 -49443.784115 -19287.08668 ],['FUG' 'FUG'],SLCH006,VS
470,[ -2130.538777  -72631.758705    2052.6594845],['CN' 'CN'],SLCH006,N
471,[ -5447.556675  -73785.797065    1962.5429515],['CN' 'CN'],SLCH006,N
472,[ -9864.1867045 -74944.566415    1954.177428 ],['CN' 'CN'],SLCH006,N
473,[-13764.38417  -76233.15075    1353.829897],['CN' 'CN'],SLCH006,N
474,[-17122.37157 -77015.53715    604.73839],['CN' 'CN'],SLCH006,N
475,[-20439.38947  -78169.57551     514.621857],['CN' 'CN'],SLCH006,N
476,[-34866.224195 -83558.653345   -758.437801],['IOG' 'IOG'],SLCH006,N
477,[-38157.46459   -84076.67877     -405.3163015],['IOG' 'IOG'],SLCH006,N
478,[-42024.288555 -85233.082625   -454.55733 ],['IOG' 'IOG'],SLCH006,N
479,[-45883.51652   -86893.318925    -395.9298875],['IOG' 'IOG'],SLCH006,N
480,[ -8812.500898 -31882.33922    2503.890844],['THAL' 'THAL'],SLCH006,THAL
481,[-13177.57592  -31769.082715   3382.001385],['THAL' 'THAL'],SLCH006,THAL
482,[-17026.21838   -31785.641195    3668.1299185],['THAL' 'THAL'],SLCH006,THAL
483,[-43951.5236    -32909.215455    5886.7665945],['STG' 'STG'],SLCH006,STG
484,[-48316.59862  -32795.95895    6764.877136],['STG' 'STG'],SLCH006,STG
485,[-52165.24108   -32812.51743     7051.0056695],['STG' 'STG'],SLCH006,STG
486,[-56013.88354  -32829.07591    7337.134203],['STG' 'STG'],SLCH006,STG
487,[-59895.8995   -32977.814875   7072.156233],['STG' 'STG'],SLCH006,STG
488,[-63785.51146   -32622.721395    6699.3097925],['STG' 'STG'],SLCH006,STG
489,[ -5511.558621  -60157.431585    1362.3887255],['RS' 'RS'],SLCH006,N
490,[ -9360.2010775 -60173.990065    1648.517259 ],['RS' 'RS'],SLCH006,N
491,[-13208.843535  -60190.548545    1934.6457925],['RS' 'RS'],SLCH006,N
492,[-17057.485995  -60207.107025    2220.7743255],['RS' 'RS'],SLCH006,N
493,[-20389.69589  -60353.480495   1914.920851],['RS' 'RS'],SLCH006,N
494,[-44172.446715 -60480.086375   1360.273074],['ITS' 'ITS'],SLCH006,VS
495,[-48054.462675  -60628.825345    1095.2951045],['ITS' 'ITS'],SLCH006,VS
496,[-51353.299065 -60643.01833    1340.548133],['MTG' 'MTG'],SLCH006,MTG
497,[-54659.731455  -60153.37887     1477.9326905],['MTG' 'MTG'],SLCH006,MTG
498,[-58508.373915 -60169.93735    1764.061224],['MTG' 'MTG'],SLCH006,MTG
499,[ -1763.578285 -50276.479205  26896.91956 ],['PCC' 'PCC'],SLCH006,PCC
500,[ -5136.757679 -50051.200715  25932.091115],['PCC' 'PCC'],SLCH006,PCC
501,[ -9067.339136 -49324.45528   24900.2697  ],['PCC' 'PCC'],SLCH006,PCC
502,[-12964.54709  -48465.52936   24419.554785],['PCC' 'PCC'],SLCH006,PCC
503,[-44092.028265 -47268.459355  21209.282175],['STS' 'STS'],SLCH006,STS
504,[-48531.44629  -46915.731375  20877.311235],['STS' 'STS'],SLCH006,STS
505,[-52421.058245 -46560.6379    20504.464795],['AG' 'AG'],SLCH006,parietal
506,[-55727.490635 -46070.99844   20641.849355],['AG' 'AG'],SLCH006,parietal
507,[-37558.01654  -36200.846125  38135.858115],['SPL' 'SPL'],SLCH006,parietal
508,[-37206.100025 -33739.1959    43982.292705],['SPL' 'SPL'],SLCH006,parietal
509,[-37370.616075 -31147.73069   50420.709305],['PostCG' 'PostCG'],SLCH006,S1
510,[-37542.72812  -28052.433035  56751.257435],['PostCG' 'PostCG'],SLCH006,S1
511,[-37748.213665 -25089.315865  62530.699065],['PostCG' 'PostCG'],SLCH006,S1
512,[ -9454.4378715 -22144.7198     -7692.575027 ],['VTA' 'VTA'],SLCH006,N
513,[-12537.84126   -22373.49476    -3924.9460375],['THAL' 'THAL'],SLCH006,THAL
514,[-15104.812085  -22732.08471     -749.2990565],['THAL' 'THAL'],SLCH006,THAL
515,[-18188.215475  -22960.859675    3018.3299325],['THAL' 'THAL'],SLCH006,THAL
516,[-27988.23171 -23649.55006  14362.0924 ],['INS' 'INS'],SLCH006,INS
517,[-31064.0391   -24382.157465  18237.58986 ],['INS' 'INS'],SLCH006,INS
518,[-33623.41393  -25244.579855  21521.105315],['INS' 'INS'],SLCH006,INS
519,[-43415.83417  -26437.102685  32972.736255],['SMG' 'SMG'],SLCH006,parietal
520,[-47015.67012  -26536.06266   37332.347255],['SMG' 'SMG'],SLCH006,parietal
521,[-50648.879575 -26767.20312   41140.85175 ],['SMG' 'SMG'],SLCH006,parietal
522,[ 15722.306455 -68405.648255 -12971.609335],['FUG' 'FUG'],SLCH006,VS
523,[ 19039.32435  -67251.609895 -12881.4928  ],['FUG' 'FUG'],SLCH006,VS
524,[ 22880.37081  -66731.21897  -13275.489805],['FUG' 'FUG'],SLCH006,VS
525,[ 26204.98471  -66081.01306  -13077.504805],['FUG' 'FUG'],SLCH006,VS
526,[ 30079.40467  -65428.44165  -12920.395305],['FUG' 'FUG'],SLCH006,VS
527,[ 41669.29105  -63602.9079   -13000.173315],['FUG' 'FUG'],SLCH006,VS
528,[ 45510.337515 -63082.516975 -13394.17032 ],['ITG' 'ITG'],SLCH006,VS
529,[ -2090.110897 -62742.475315  30185.61334 ],['PCN' 'PCN'],SLCH006,N
530,[ -6005.5003585 -63023.39477    29369.528865 ],['PCN' 'PCN'],SLCH006,N
531,[ -9879.920322 -63675.96618   29212.419365],['PCN' 'PCN'],SLCH006,N
532,[-20950.384635 -63483.80465   28819.847985],['IP' 'IP'],SLCH006,parietal
533,[-24799.027095 -63500.36313   29105.97652 ],['IP' 'IP'],SLCH006,parietal
534,[-29223.25312  -64155.300035  28989.742525],['IP' 'IP'],SLCH006,parietal
535,[-33105.26908  -64304.039005  28724.764555],['IP' 'IP'],SLCH006,parietal
536,[-36404.105475 -64318.23199   28970.017585],['IP' 'IP'],SLCH006,parietal
537,[-40252.74793 -64334.79047  29256.14612],['IP' 'IP'],SLCH006,parietal
538,[-44134.76389  -64483.529435  28991.16815 ],['IP' 'IP'],SLCH006,parietal
539,[-48016.77985 -64632.2684   28726.19018],['IP' 'IP'],SLCH006,parietal
540,[ -3140.6675035 -43826.25392    40741.97984  ],['PCN' 'PCN'],SLCH006,N
541,[ -6989.3099625 -43842.812405   41028.108375 ],['PCN' 'PCN'],SLCH006,N
542,[-21908.41673  -43667.209355  40921.665525],['SPL' 'SPL'],SLCH006,parietal
543,[-35686.94187  -43858.527275  41392.44664 ],['SPL' 'SPL'],SLCH006,parietal
544,[-48908.06495  -44551.31214   41930.220725],['SMG' 'SMG'],SLCH006,parietal
545,[-52756.70741 -44567.87062  42216.34926],['SMG' 'SMG'],SLCH006,parietal
546,[ -3586.8746525 -64775.000085   41790.955155 ],['PCN' 'PCN'],SLCH006,N
547,[ -6885.711046 -64789.19307   42036.208185],['PCN' 'PCN'],SLCH006,N
548,[-10767.7270065 -64937.932035   41771.230215 ],['SPL' 'SPL'],SLCH006,parietal
549,[-14649.742965 -65086.671     41506.252245],['SPL' 'SPL'],SLCH006,parietal
550,[-17948.57936  -65100.863985  41751.505275],['SPL' 'SPL'],SLCH006,parietal
551,[-21763.84832  -64985.241985  42588.74031 ],['SPL' 'SPL'],SLCH006,parietal
552,[-26128.92334 -64871.98548  43466.85085],['SPL' 'SPL'],SLCH006,parietal
553,[-29977.5658   -64888.54396   43752.979385],['SPL' 'SPL'],SLCH006,parietal
554,[-33859.58176  -65037.282925  43488.001415],['AG' 'AG'],SLCH006,parietal
555,[-37741.59772  -65186.02189   43223.023445],['AG' 'AG'],SLCH006,parietal
556,[-41590.24018 -65202.58037  43509.15198],['AG' 'AG'],SLCH006,parietal
557,[-45996.2847   -64717.671905  43728.287545],['AG' 'AG'],SLCH006,parietal
558,[-49302.71709  -64228.032445  43865.6721  ],['AG' 'AG'],SLCH006,parietal
559,[ 25.43145267  -5.04271609 -16.51102603],['AMY' 'AMY'],BJH045,AMY
560,[ 40.43401917  -5.64554813 -17.15898152],['INS' 'INS'],BJH045,INS
561,[ 45.41842167  -5.42737916 -17.08747001],['STG' 'STG'],BJH045,STG
562,[ 50.40432167  -5.70387916 -16.89386501],['STS' 'STS'],BJH045,STS
563,[ 55.38872417  -5.48571019 -16.8223535 ],['STS' 'STS'],BJH045,STS
564,[ 29.20803217 -17.09832009 -19.89826284],['HPC' 'HPC'],BJH045,HPC
565,[ 33.18105767 -19.65886445 -18.57957292],['HPC' 'HPC'],BJH045,HPC
566,[ 37.65117567 -21.75238983 -17.36361599],['HPC' 'HPC'],BJH045,HPC
567,[ 10.13111767  33.73229295 -20.59337388],['OFC' 'OFC'],BJH045,OFC
568,[ 13.59956317  33.17807449 -19.7824184 ],['OFC' 'OFC'],BJH045,OFC
569,[ 17.06651117  33.11852499 -19.09355641],['OFC' 'OFC'],BJH045,OFC
570,[ 20.55664117  32.92497499 -18.95803291],['OFC' 'OFC'],BJH045,OFC
571,[ 24.02358917  32.8654255  -18.26917091],['OFC' 'OFC'],BJH045,OFC
572,[ 27.49053717  32.80587601 -17.58030892],['OFC' 'OFC'],BJH045,OFC
573,[ 30.98216467  32.11765703 -17.32269194],['OFC' 'OFC'],BJH045,OFC
574,[ 34.47229467  31.92410703 -17.18716844],['OFC' 'OFC'],BJH045,OFC
575,[ 38.43783267  31.83690754 -16.47894595],['OFC' 'OFC'],BJH045,OFC
576,[ 41.90478067  31.77735805 -15.79008395],['IFG' 'IFG'],BJH045,VLPFC
577,[ 45.39491067  31.58380804 -15.65456045],['IFG' 'IFG'],BJH045,VLPFC
578,[13.68692568 18.5170206  -4.42301598],['CAUD' 'CAUD'],BJH045,N
579,[17.12919418 19.08614058 -3.30290897],['CAUD' 'CAUD'],BJH045,N
580,[27.00227618 21.0478185  -1.19071893],['INS' 'INS'],BJH045,INS
581,[30.44454468 21.61693849 -0.07061192],['INS' 'INS'],BJH045,INS
582,[33.88681318 22.18605847  1.04949509],['INS' 'INS'],BJH045,INS
583,[37.32908169 22.75517846  2.1696021 ],['INS' 'INS'],BJH045,INS
584,[40.27276019 23.35194845  3.27034861],['IFG' 'IFG'],BJH045,VLPFC
585,[43.71502869 23.92106843  4.39045562],['IFG' 'IFG'],BJH045,VLPFC
586,[47.15729719 24.49018842  5.51056263],['IFG' 'IFG'],BJH045,VLPFC
587,[50.10097569 25.08695841  6.61130914],['IFG' 'IFG'],BJH045,VLPFC
588,[15.68861969  7.61005103 11.81918954],['CAUD' 'CAUD'],BJH045,N
589,[19.15556769  7.55050154 12.50805154],['CAUD' 'CAUD'],BJH045,N
590,[22.62251569  7.49095205 13.19691353],['PAL' 'PAL'],BJH045,N
591,[26.11264569  7.29740205 13.33243703],['PAL' 'PAL'],BJH045,N
592,[29.57959369  7.23785255 14.02129902],['INS' 'INS'],BJH045,INS
593,[33.04654169  7.17830306 14.71016102],['INS' 'INS'],BJH045,INS
594,[36.03808169  7.01240306 14.82632401],['FOP' 'FOP'],BJH045,VLPFC
595,[39.52671419  7.31352203 14.83975403],['FOP' 'FOP'],BJH045,VLPFC
596,[43.49225219  7.22632254 15.54797652],['FOP' 'FOP'],BJH045,VLPFC
597,[46.95920019  7.16677304 16.23683852],['FOP' 'FOP'],BJH045,VLPFC
598,[50.44933019  6.97322304 16.37236201],['FOP' 'FOP'],BJH045,VLPFC
599,[53.94095769  6.28500407 16.62997899],['FOP' 'FOP'],BJH045,VLPFC
600,[57.40790569  6.22545458 17.31884099],['FOP' 'FOP'],BJH045,VLPFC
601,[60.87485369  6.16590508 18.00770298],['FOP' 'FOP'],BJH045,VLPFC
602,[ 35.37000069 -11.35904809  12.29871951],['INS' 'INS'],BJH045,INS
603,[ 38.83694869 -11.41859759  12.9875815 ],['INS' 'INS'],BJH045,INS
604,[ 42.28071469 -11.34414657  14.229782  ],['INS' 'INS'],BJH045,INS
605,[ 45.24907269 -11.37604607  14.89928349],['PostCG' 'PostCG'],BJH045,S1
606,[ 48.71452319 -10.94092659  15.466052  ],['PostCG' 'PostCG'],BJH045,S1
607,[ 52.15679169 -10.3718066   16.58615901],['PostCG' 'PostCG'],BJH045,S1
608,[ 55.62373969 -10.43135609  17.27502101],['PostCG' 'PostCG'],BJH045,S1
609,[ 59.58927769 -10.51855559  17.9832435 ],['PostCG' 'PostCG'],BJH045,S1
610,[ 63.03304369 -10.44410457  19.22544399],['PostCG' 'PostCG'],BJH045,S1
611,[10.0654867  37.81468773 18.31266034],['ACC' 'ACC'],BJH045,ACC
612,[13.5541192  38.1158067  18.32609035],['ACC' 'ACC'],BJH045,ACC
613,[23.9968347  39.15316412 18.91971889],['MFG' 'MFG'],BJH045,DLPFC
614,[27.4622852 39.5882836 19.4864874],['MFG' 'MFG'],BJH045,DLPFC
615,[30.9494202  40.38407154 19.37782393],['MFG' 'MFG'],BJH045,DLPFC
616,[34.4380527  40.68519052 19.39125394],['MFG' 'MFG'],BJH045,DLPFC
617,[37.9281827  40.49164052 19.52677744],['MFG' 'MFG'],BJH045,DLPFC
618,[41.4168152  40.79275949 19.54020745],['MFG' 'MFG'],BJH045,DLPFC
619,[44.8807682  41.72254794 19.98488247],['MFG' 'MFG'],BJH045,DLPFC
620,[ 5.7238832  19.17713104 33.36788914],['ACC' 'ACC'],BJH045,ACC
