,coords,areas,subjs,regions
72,[-53.32670486  -9.42138436 -24.02957735],['ITS' 'ITS'],BJH030,VS
73,[-53.10131936 -24.46101098 -11.91495721],['STS' 'STS'],BJH030,STS
74,[-57.23543036 -24.30060699 -11.36077675],['MTG' 'MTG'],BJH030,MTG
75,[-61.36782187 -24.71052143 -10.72608328],['MTG' 'MTG'],BJH030,MTG
76,[-65.50193288 -24.55011744 -10.17190281],['MTG' 'MTG'],BJH030,MTG
77,[-45.68076127 -14.67011628 -26.94692072],['FUG' 'FUG'],BJH030,VS
78,[-49.81487227 -14.50971229 -26.39274025],['FUG' 'FUG'],BJH030,VS
79,[-53.95995328 -14.44303379 -26.44979375],['ITS' 'ITS'],BJH030,VS
80,[-58.09406429 -14.2826298  -25.89561328],['ITS' 'ITS'],BJH030,VS
81,[-41.28147676 -31.87024413 -13.23072721],['FUG' 'FUG'],BJH030,VS
82,[-45.41386827 -32.28015857 -12.59603375],['FUG' 'FUG'],BJH030,VS
83,[-49.55894928 -32.21348007 -12.65308723],['ITS' 'ITS'],BJH030,VS
84,[-53.70403028 -32.14680158 -12.71014073],['ITS' 'ITS'],BJH030,VS
85,[-57.83642178 -32.55671602 -12.07544727],['MTG' 'MTG'],BJH030,MTG
86,[-61.96881329 -32.96663046 -11.44075381],['MTG' 'MTG'],BJH030,MTG
87,[-66.1121748  -33.4702704  -11.41729431],['MTG' 'MTG'],BJH030,MTG
88,[-43.23280704 -29.82563946 -22.90676609],['FUG' 'FUG'],BJH030,VS
89,[-47.36519855 -30.23555389 -22.27207264],['FUG' 'FUG'],BJH030,VS
90,[-52.09146398 -30.06562441 -21.72604267],['FUG' 'FUG'],BJH030,VS
91,[-56.23654499 -29.99894591 -21.78309616],['ITS' 'ITS'],BJH030,VS
92,[-59.78947157 -29.94179292 -21.83199916],['ITS' 'ITS'],BJH030,VS
93,[-63.92186308 -30.35170736 -21.1973057 ],['ITS' 'ITS'],BJH030,VS
94,[-68.05597408 -30.19130337 -20.64312522],['MTG' 'MTG'],BJH030,MTG
95,[-7.23407285 30.35979716  5.22407367],['ACC' 'ACC'],BJH030,ACC
96,[-10.78699942  30.41695016   5.17517067],['ACC' 'ACC'],BJH030,ACC
97,[-30.94972102  29.31900379   3.22537779],['FOP' 'FOP'],BJH030,VLPFC
98,[-35.10577203  29.2919568    2.55709034],['IFG' 'IFG'],BJH030,VLPFC
99,[-39.25085304  29.35863529   2.50003684],['IFG' 'IFG'],BJH030,VLPFC
100,[-43.40518454  28.76126986   1.91226238],['IFG' 'IFG'],BJH030,VLPFC
101,[-47.55951605  28.16390443   1.32448791],['IFG' 'IFG'],BJH030,VLPFC
102,[-51.70459705  28.23058292   1.26743441],['IFG' 'IFG'],BJH030,VLPFC
103,[-39.89906887 -32.73312464  30.61046962],['SMG' 'SMG'],BJH030,parietal
104,[-44.04243038 -33.23676457  30.63392912],['SMG' 'SMG'],BJH030,parietal
105,[-48.18579189 -33.74040451  30.65738861],['SMG' 'SMG'],BJH030,parietal
106,[-52.31990289 -33.58000052  31.21156908],['SMG' 'SMG'],BJH030,parietal
107,[-56.4632644  -34.08364045  31.23502858],['SMG' 'SMG'],BJH030,parietal
108,[-60.60662591 -34.58728039  31.25848808],['SMG' 'SMG'],BJH030,parietal
109,[-49826.05100611  -2890.57851932 -22775.1172579 ],['STS' 'STS'],BJH072,STS
110,[-54082.31500647  -2622.30846461 -22798.74278611],['STS' 'STS'],BJH072,STS
111,[-47842.48650059 -19240.85937856 -20115.33315872],['STS' 'STS'],BJH072,STS
112,[-51510.5609968  -20011.51093367 -20631.86370047],['STS' 'STS'],BJH072,STS
113,[-55192.00749337 -20293.58843408 -21192.78777043],['MTG' 'MTG'],BJH072,MTG
114,[-58904.53799337 -20486.35443408 -21174.61577043],['MTG' 'MTG'],BJH072,MTG
115,[-49554.91759571 -26876.64551515  -1804.99496732],['STS' 'STS'],BJH072,STS
116,[-5.28303386e+04 -2.67739390e+04 -5.21307574e+01],['STG' 'STG'],BJH072,STG
117,[-56119.13161663 -26182.65845799   1656.33992425],['STG' 'STG'],BJH072,STG
118,[-59407.92462726 -25591.37790206   3364.81060593],['STG' 'STG'],BJH072,STG
119,[-63213.70713754 -25516.20940083   5120.27081582],['STG' 'STG'],BJH072,STG
120,[-67019.48964782 -25441.0408996    6875.73102571],['STG' 'STG'],BJH072,STG
121,[-24912.66337185   2992.61889395 -47389.56610605],['TP' 'TP'],BJH072,TP
122,[-28656.27787528   2889.16439436 -46792.29803608],['TP' 'TP'],BJH072,TP
123,[-32368.80837528   2696.39839436 -46774.12603608],['TP' 'TP'],BJH072,TP
